latitude	longitude	altitude	temperature	municipality	vereda	uchuva_ideal	temp_prob	alt_prob	alt_temp_prob	geometry
7.342	-75.596	1870.0	16.85	Ituango	LA MARIA	1	0.9642063030062364	0.9116947945645905	0.879061867337154	POINT (-75.596 7.342)
7.342	-75.587	1550.0	18.86	Ituango	LA MARIA	0	0.7978840442882552	0.7548396019890073	0.6022744744239261	POINT (-75.587 7.342)
7.342	-75.578	1149.0	21.3	Ituango	LA MARIA	0	0.5102777977955036	0.5156121208245263	0.26310541753100847	POINT (-75.578 7.342)
7.342	-75.568	1360.0	19.93	Ituango	SAN MARCOS	0	0.675367697086628	0.642878198238472	0.4341791682515176	POINT (-75.568 7.342)
7.342	-75.559	1441.0	19.4	Ituango	SAN MARCOS	0	0.7377133090335348	0.691466551486164	0.5101040777828652	POINT (-75.559 7.342)
7.342	-75.55	1763.0	17.55	Ituango	SAN MARCOS	0	0.9193852856815897	0.8657280065062994	0.7959375905843473	POINT (-75.55 7.342)
7.342	-75.541	1867.0	16.79	Ituango	LA AMERICA	1	0.9672657521828801	0.9105153692007932	0.8807103334640781	POINT (-75.541 7.342)
7.342	-75.532	1963.0	16.17	Ituango	LA AMERICA	1	0.9910621819010501	0.9447976513236398	0.936353221775794	POINT (-75.532 7.342)
7.342	-75.523	2054.0	15.58	Ituango	LA AMERICA	1	0.9998720081916505	0.9701951908964435	0.9700710138595086	POINT (-75.523 7.342)
7.342	-75.514	2002.0	15.92	Valdivia	SAN JOSÉ DE GENOVAS	1	0.9964782160797415	0.9565693392955759	0.9532005087778325	POINT (-75.514 7.342)
7.342	-75.505	1904.0	16.55	Valdivia	SAN JOSÉ DE GENOVAS	1	0.9781913242622373	0.9245871180336795	0.9044230973851705	POINT (-75.505 7.342)
7.342	-75.495	1769.0	17.43	Valdivia	SAN JOSÉ DE GENOVAS	0	0.9282093304757879	0.8685062474043685	0.8061556024172479	POINT (-75.495 7.342)
7.342	-75.486	1637.0	18.29	Valdivia	SAN JOSÉ DE GENOVAS	0	0.8558313014569261	0.8026917593993649	0.6869687331155082	POINT (-75.486 7.342)
7.342	-75.477	1434.0	19.44	Valdivia	SAN JOSÉ DE GENOVAS	0	0.733100850948222	0.6873043993214308	0.5038634400029975	POINT (-75.477 7.342)
7.342	-75.468	1328.0	20.13	Valdivia	SAN JOSÉ DE GENOVAS	0	0.6513305554335411	0.6235090494586568	0.4061104955017462	POINT (-75.468 7.342)
7.342	-75.459	1051.0	21.15	Valdivia	SAN JOSÉ DE GENOVAS	0	0.5281103610377285	0.4584057821022752	0.24208884308781486	POINT (-75.459 7.342)
7.342	-75.45	776.0	22.94	Valdivia	SAN JOSÉ DE GENOVAS	0	0.33052532377781335	0.31308267059803513	0.10348175106863805	POINT (-75.45 7.342)
7.342	-75.441	745.0	22.52	Valdivia	SAN JOSÉ DE GENOVAS	0	0.37321224489621607	0.2984918946856656	0.11140083009896218	POINT (-75.441 7.342)
7.342	-75.432	496.0	24.14	Valdivia	SAN JOSÉ DE GENOVAS	0	0.22469934832394978	0.1964773738704601	0.044148337869093425	POINT (-75.432 7.342)
7.342	-75.422	362.0	25.01	Valdivia	JUNTAS	0	0.16385031194404065	0.15290751767341032	0.025053944469377188	POINT (-75.422 7.342)
7.342	-75.413	328.0	25.23	Valdivia	JUNTAS	0	0.1505503047216974	0.14307418600385394	0.021539862300689022	POINT (-75.413 7.342)
7.342	-75.404	364.0	25.0	Valdivia	JUNTAS	0	0.1644744565771549	0.15350103028853251	0.02524699854073978	POINT (-75.404 7.342)
7.342	-75.395	370.0	24.96	Valdivia	JUNTAS	0	0.16698822133181856	0.15529169925475433	0.02593188464614712	POINT (-75.395 7.342)
7.342	-75.386	297.0	25.41	Valdivia	LA SIBERIA	0	0.14027338647436402	0.13452509734322032	0.018870290970126984	POINT (-75.386 7.342)
7.342	-75.377	479.0	24.25	Valdivia	LA SIBERIA	0	0.2162651668298873	0.19051573298077074	0.04120191677680465	POINT (-75.377 7.342)
7.342	-75.368	379.0	24.88	Valdivia	LA SIBERIA	0	0.17209855019520193	0.1580062799857181	0.027192651707279233	POINT (-75.368 7.342)
7.342	-75.359	406.0	24.71	Valdivia	LA PAULINA	0	0.18332733649243108	0.16635719920448844	0.03049782223649964	POINT (-75.359 7.342)
7.342	-75.35	342.0	25.12	Valdivia	LA PAULINA	0	0.15709760168580686	0.14706479603040395	0.02310352674878883	POINT (-75.35 7.342)
7.342	-75.34	161.0	26.3	Valdivia	LA PAULINA	0	0.09702370004128698	0.10150365208648152	0.009848259893133936	POINT (-75.34 7.342)
7.342	-75.331	338.0	25.15	Valdivia	LA PAULINA	0	0.15529169925475442	0.1459163159540868	0.02265959265350377	POINT (-75.331 7.342)
7.342	-75.322	542.0	23.84	Valdivia	RAUDAL VIEJO	0	0.24879848683213912	0.21325172575613974	0.053056706682469874	POINT (-75.322 7.342)
7.342	-75.313	745.0	22.99	Valdivia	RAUDAL VIEJO	0	0.32562723590343745	0.2984918946856656	0.09719709060607325	POINT (-75.313 7.342)
7.342	-75.304	487.0	24.18	Valdivia	LA ALEMANIA	0	0.2216073847456006	0.19330529509454908	0.042837880903379595	POINT (-75.304 7.342)
7.342	-75.295	496.0	24.12	Valdivia	LA ALEMANIA	0	0.22625604014160008	0.1964773738704601	0.04445419258935099	POINT (-75.295 7.342)
7.342	-75.286	673.0	23.46	Valdivia	LA ALEMANIA	0	0.2816100405420222	0.26618479323258615	0.07496031041389839	POINT (-75.286 7.342)
7.342	-75.277	390.0	24.81	Taraza	NERI	0	0.17666111254902886	0.16137087366420477	0.028507958074527197	POINT (-75.277 7.342)
7.342	-75.267	835.0	22.4	Taraza	NERI	0	0.3858911284302191	0.34194256316010563	0.13195260155617464	POINT (-75.267 7.342)
7.342	-75.258	879.0	22.12	Taraza	DORADAS BAJAS	0	0.4162421902606795	0.364357226905043	0.15166085016426248	POINT (-75.258 7.342)
7.342	-75.249	844.0	22.34	Taraza	DORADAS BAJAS	0	0.39230644388117175	0.34646689709337525	0.1359211963212459	POINT (-75.249 7.342)
7.342	-75.24	794.0	22.67	Taraza	DORADAS BAJAS	0	0.3576580201865063	0.3217379128858164	0.11507214494167971	POINT (-75.24 7.342)
7.342	-75.231	708.0	23.23	Taraza	TAHAMI	0	0.30268639786193846	0.2816100405420223	0.08523952877341918	POINT (-75.231 7.342)
7.342	-75.222	539.0	23.84	Taraza	TAHAMI	0	0.24879848683213912	0.2121290421711233	0.0527773847053265	POINT (-75.222 7.342)
7.342	-75.213	544.0	23.81	Taraza	DORADAS BAJAS	0	0.25129644021812336	0.21400241050107696	0.053778043957018185	POINT (-75.213 7.342)
7.342	-75.204	600.0	23.93	Taraza	DORADAS BAJAS	0	0.2414004756354042	0.23574607655586352	0.05690921500976587	POINT (-75.204 7.342)
7.342	-75.195	552.0	23.76	Taraza	DORADAS BAJAS	0	0.25549511216270937	0.2170229870382786	0.05544831241523121	POINT (-75.195 7.342)
7.342	-75.185	824.0	22.84	Taraza	DORADAS BAJAS	0	0.3404414912575785	0.33645596509194914	0.11454357049841093	POINT (-75.185 7.342)
7.342	-75.176	661.0	23.53	Taraza	DORADAS BAJAS	0	0.27537595661575703	0.26101941172494697	0.07187847019903942	POINT (-75.176 7.342)
7.342	-75.167	375.0	24.91	Taraza	DORADAS BAJAS	0	0.17016920728171278	0.15679555808603973	0.026681775824795133	POINT (-75.167 7.342)
